DateTime,Entries,UniqueIPs
1632085930,4506,4506
1632087859,4489,4489
1632089782,4501,4501
1632091686,4494,4494
1632093617,5487,5487
1632095544,5475,5475
1632097446,5476,5476
1632099365,5497,5497
1632101301,5492,5492
1632103220,5496,5496
1632105126,5494,5494
1632107069,5499,5499
1632108969,5509,5509
1632111130,5545,5545
1632113049,5575,5575
1632114983,5611,5611
1632116886,5623,5623
1632118806,5622,5622
1632120744,5607,5607
1632122647,5597,5597
1632124567,5602,5602
1632126505,5587,5587
1632128414,5573,5573
1632130327,5565,5565
1632132271,3310,3310
1632134171,3336,3336
1632136343,4502,4502
1632138251,4511,4511
1632140188,4523,4523
1632151703,4473,4473
1632153619,4434,4434
1632155540,4410,4410
1632157454,4476,4476
1632159382,4494,4494
1632161545,4478,4478
1632163450,4467,4467
1632165387,4426,4426
1632167287,4421,4421
1632169222,4399,4399
1632171127,4393,4393
1632173061,4364,4364
1632174966,4355,4355
1632176887,4359,4359
1632178834,5399,5399
1632180726,5386,5386
1632182655,5377,5377
1632184584,5370,5370
1632186749,5358,5358
1632188647,5365,5365
1632190823,5346,5346
1632192731,5369,5369
1632194648,5337,5337
1632196581,5307,5307
1632198489,5294,5294
1632200421,5277,5277
1632202327,5269,5269
1632204271,5242,5242
1632206168,5228,5228
1632208328,5205,5205
1632210247,5200,5200
1632212185,5190,5190
1632214085,5198,5198
1632216007,5169,5169
1632217946,5129,5129
1632219848,2596,2596
1632221780,2589,2589
1632223686,3990,3990
1632225620,3994,3994
1632227542,3981,3981
1632229453,3961,3961
1632231607,3942,3942
1632233769,3925,3925
1632235931,3899,3899
1632237851,3884,3884
1632239779,3836,3836
1632241689,3799,3799
1632243858,3760,3760
1632245784,3743,3743
1632247698,3733,3733
1632249624,3724,3724
1632251531,3728,3728
1632253462,3701,3701
1632255376,3679,3679
1632257302,3682,3682
1632259211,3674,3674
1632261127,3666,3666
1632263063,3620,3620
1632264966,3602,3602
1632267132,4813,4813
1632269074,4813,4813
1632270970,4796,4796
1632272903,4766,4766
1632274806,4777,4777
1632276728,4787,4787
1632278661,4790,4790
1632280569,4766,4766
1632282731,4726,4726
1632284666,4704,4704
1632286569,4674,4674
1632288727,4648,4648
1632290656,4649,4649
1632292591,4633,4633
1632294743,4638,4638
1632296646,4616,4616
1632298594,4604,4604
1632300485,4593,4593
1632302406,4585,4585
1632304341,4574,4574
1632306251,2656,2656
1632308181,2661,2661
1632310086,3607,3607
1632312018,3618,3618
1632313945,3628,3628
1632315853,3637,3637
1632317769,3636,3636
1632319702,3638,3638
1632321606,3644,3644
1632323524,3623,3623
1632325462,3635,3635
1632327370,3637,3637
1632329529,3635,3635
1632331448,3649,3649
1632333381,3662,3662
1632335287,3645,3645
1632337217,3655,3655
1632339143,3655,3655
1632341053,3638,3638
1632342985,3638,3638
1632344885,3630,3630
1632347047,3632,3632
1632348968,3621,3621
1632350903,3616,3616
1632352848,4442,4442
1632354743,4442,4442
1632356649,4452,4452
1632358566,4445,4445
1632360502,4451,4451
1632362419,4430,4430
1632364324,4424,4424
1632366271,4406,4406
1632368166,4413,4413
1632370338,4424,4424
1632372262,4412,4412
1632374173,4409,4409
1632376327,4406,4406
1632378247,4409,4409
1632380180,4411,4411
1632382332,4398,4398
1632384253,4407,4407
1632386184,4424,4424
1632388086,4410,4410
1632390247,4405,4405
1632392408,2531,2531
1632394325,2534,2534
1632396266,3526,3526
1632398166,3520,3520
1632400332,3527,3527
1632402497,3525,3525
1632404423,3522,3522
1632406330,3506,3506
1632408245,3497,3497
1632410182,3489,3489
1632412085,3499,3499
1632414008,3509,3509
1632415946,3501,3501
1632417847,3508,3508
1632419767,3506,3506
1632421703,3493,3493
1632423611,3469,3469
1632425525,3465,3465
1632427472,3468,3468
1632429369,3452,3452
1632431529,3460,3460
1632433447,3462,3462
1632435384,3455,3455
1632437305,3446,3446
1632439207,4362,4362
1632441129,4352,4352
1632443049,4350,4350
1632444999,4365,4365
1632446909,4343,4343
1632448855,4319,4319
1632450736,4317,4317
1632452675,4316,4316
1632454569,4318,4318
1632456731,4321,4321
1632458646,4315,4315
1632460584,4332,4332
1632462485,4331,4331
1632464431,4329,4329
1632466330,4299,4299
1632468251,4294,4294
1632470166,4268,4268
1632472103,4255,4255
1632474023,4244,4244
1632475925,4242,4242
1632477876,2420,2420
1632479770,2430,2430
1632481929,3359,3359
1632483849,3350,3350
1632485799,3348,3348
1632487932,3349,3349
1632489866,3363,3363
1632491766,3370,3370
1632493687,3373,3373
1632495634,3388,3388
1632497532,3398,3398
1632499475,3408,3408
1632501607,3406,3406
1632503527,3430,3430
1632505466,3458,3458
1632507368,3461,3461
1632509323,3460,3460
1632511211,3441,3441
1632513127,3426,3426
1632515068,3408,3408
1632516967,3390,3390
1632519130,3393,3393
1632521071,3379,3379
1632522972,3366,3366
1632525131,4197,4197
1632527065,4202,4202
1632528972,4194,4194
1632531130,4191,4191
1632533051,4192,4192
1632534985,4195,4195
1632547446,4205,4205
1632549622,4216,4216
1632551546,4205,4205
1632553459,4200,4200
1632555387,4187,4187
1632557289,4161,4161
1632559209,4140,4140
1632561149,4139,4139
1632563047,4141,4141
1632565209,2399,2399
1632567124,2398,2398
1632569065,3281,3281
1632570969,3278,3278
1632572905,3269,3269
1632574820,3272,3272
1632576725,3268,3268
1632578675,3271,3271
1632580573,3254,3254
1632582506,3259,3259
1632584407,3256,3256
1632586326,3246,3246
1632588267,3240,3240
1632590172,3220,3220
1632592331,3210,3210
1632594252,3220,3220
1632596185,3228,3228
1632598085,3248,3248
1632600014,3258,3258
1632601943,3274,3274
1632603858,3280,3280
1632605789,3278,3278
1632607699,3273,3273
1632609624,3268,3268
1632611533,4060,4060
1632613464,4047,4047
1632615369,4046,4046
1632617529,4030,4030
1632619451,4052,4052
1632621384,4062,4062
1632623287,4057,4057
1632625215,4049,4049
1632627145,4030,4030
1632629052,4021,4021
1632630967,4035,4035
1632632906,4029,4029
1632634809,4040,4040
1632636727,4038,4038
1632638664,4042,4042
1632640568,4054,4054
1632642726,4065,4065
1632644649,4076,4076
1632646587,4075,4075
1632648489,4082,4082
1632650659,2375,2375
1632652585,2367,2367
1632654499,3241,3241
1632656425,3252,3252
1632658356,3246,3246
